Object,View,Algo,Merge,Input_Views,IOU,MSE
chair,bottom,DEPTH,MAPPING,from_top_front,1.0000,91.0992
chair,right,HYBRID,DEPTH,PROJ_from_top_left,0.9940,50.1617
chair,right,SPATIAL,CARVE,VOTE_from_top_front_left,1.0000,43.1587
chair,right,HYBRID,DEPTH,PROJ_from_top_front_left,0.8750,47.8073
chair,bottom,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,1.0000,46.2150
chair,right,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,1.0000,43.1587
chair,back,HYBRID,DEPTH,PROJ_from_top_front,1.0000,74.3971
chair,bottom,SILHOUETTE,INTERSECT,PROJ_from_top_left,1.0000,57.0522
chair,right,SPATIAL,CARVE,PROJ_from_top_front_left,1.0000,47.7956
chair,back,DEPTH,MAPPING,from_front_left,0.9749,44.9056
chair,right,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,47.6310
chair,right,SILHOUETTE,INTERSECT,PROJ_from_top_left,1.0000,50.2758
chair,back,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,1.0000,72.4951
chair,right,SPATIAL,CARVE,PROJ_from_front_left,1.0000,47.6310
chair,back,SPATIAL,CARVE,VOTE_from_top_front,1.0000,44.4412
chair,right,SPATIAL,CARVE,PROJ_from_top_left,1.0000,50.2758
chair,bottom,HYBRID,DEPTH,PROJ_from_top_front,1.0000,63.8257
chair,back,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,1.0000,71.1140
chair,right,HYBRID,DEPTH,VOTE_from_front_left,0.9524,38.2875
chair,right,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,38.5437
chair,right,HYBRID,DEPTH,PROJ_from_front_left,0.9524,45.7458
chair,back,HYBRID,DEPTH,VOTE_from_top_front,1.0000,44.4412
chair,back,SILHOUETTE,INTERSECT,VOTE_from_top_front,1.0000,44.4412
chair,bottom,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,1.0000,45.5153
chair,back,SPATIAL,CARVE,VOTE_from_front_left,1.0000,44.9914
chair,right,SPATIAL,CARVE,VOTE_from_top_left,1.0000,36.6746
chair,bottom,SPATIAL,CARVE,VOTE_from_top_left,1.0000,50.3003
chair,right,HYBRID,DEPTH,VOTE_from_top_left,0.9940,37.5210
chair,back,HYBRID,DEPTH,PROJ_from_top_front_left,0.8787,73.3710
chair,back,SPATIAL,CARVE,PROJ_from_top_front,1.0000,74.3971
chair,right,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,1.0000,47.7956
chair,right,SILHOUETTE,INTERSECT,VOTE_from_top_left,1.0000,36.6746
chair,back,HYBRID,DEPTH,VOTE_from_front_left,0.9706,45.0732
chair,right,SPATIAL,CARVE,VOTE_from_front_left,1.0000,38.5437
chair,bottom,SILHOUETTE,INTERSECT,VOTE_from_top_left,1.0000,50.3003
chair,right,DEPTH,MAPPING,from_top_front_left,0.9081,39.0278
chair,back,SPATIAL,CARVE,VOTE_from_top_front_left,1.0000,71.1140
chair,bottom,SPATIAL,CARVE,PROJ_from_top_left,1.0000,57.0522
chair,bottom,SPATIAL,CARVE,PROJ_from_top_front,1.0000,63.3893
chair,bottom,DEPTH,MAPPING,from_top_left,1.0000,85.6985
